;x;y;diameter;intensity ratio, local;intensity ratio, overall;CV;state;Cell;z;cellID
0;32;42;4;1.350069643;1.108009297;0.116009696;nonpunctate;1;22;1
1;47;28;4;1.284849843;2.496572753;0.115188364;nonpunctate;1;22;1
2;59;42;4;1.280625128;1.021458829;0.155729461;nonpunctate;1;22;1
3;37;9;4;1.259538823;1.489647871;0.067468872;nonpunctate;1;22;1
4;18;10;4;1.233986928;1.233262522;0.157197108;nonpunctate;1;22;1
5;42;11;4;1.22324159;1.894312136;0.116313775;nonpunctate;1;22;1
6;33;24;4;1.22174375;5.945853869;0.073089122;nonpunctate;1;22;1
7;20;34;4;1.20436068;1.596611186;0.08211561;nonpunctate;1;22;1
8;38;23;4;1.200059478;4.612813355;0.135594477;nonpunctate;1;22;1
9;47;15;4;1.194297274;2.024627747;0.086496703;nonpunctate;1;22;1
10;19;44;4;1.17192963;1.149488201;0.052245977;nonpunctate;1;22;1
11;18;49;4;1.154653342;1.006271671;0.057739707;nonpunctate;1;22;1
12;18;24;4;1.152374709;1.052649658;0.202915351;nonpunctate;1;22;1
13;33;19;4;1.134332527;3.979688514;0.269270868;nonpunctate;1;22;1
14;23;22;4;1.133813783;1.704227712;0.232168201;nonpunctate;1;22;1
15;31;14;4;1.109337934;1.680058902;0.133326944;nonpunctate;1;22;1
16;35;29;4;1.100053878;3.778826106;0.226010319;nonpunctate;1;22;1
17;40;29;4;1.087291043;2.984684734;0.0928431;nonpunctate;1;22;1
18;22;39;4;1.071011673;1.318506568;0.067131798;nonpunctate;1;22;1
19;27;34;4;1.068261067;1.534229528;0.129160272;nonpunctate;1;22;1
20;32;8;4;1.061657052;1.138057007;0.070907857;nonpunctate;1;22;1
21;27;29;4;1.043642309;2.258477314;0.121550006;nonpunctate;1;22;1
22;19;29;4;1.03996097;1.276374453;0.119184359;nonpunctate;1;22;1
23;28;22;4;1.037883646;3.260013205;0.165939768;nonpunctate;1;22;1
24;23;7;4;1.034754773;1.126135905;0.065501597;nonpunctate;1;22;1
25;47;10;4;1.030152861;1.471031356;0.182027896;nonpunctate;1;22;1
26;42;34;4;1.015688767;1.652787339;0.19382281;nonpunctate;1;22;1
27;25;14;4;1.013380666;1.212033162;0.070820162;nonpunctate;1;22;1
28;52;18;4;1.012700166;1.197989123;0.070803579;nonpunctate;1;22;1
29;38;18;4;1.01150288;2.934224178;0.143590155;nonpunctate;1;22;1
30;52;26;4;1.002489691;1.402770798;0.12915918;nonpunctate;1;22;1
0;32;41;4;1.367715799;1.208829094;0.141103748;nonpunctate;1;23;2
1;18;10;4;1.357384442;1.11420496;0.156106503;nonpunctate;1;23;2
